Response ID,pid_ra,partner_ID,pid,sim_self,sim_other,dissim_self,dissim_other,social_desirability,age,sex,race,college_year
R_1NyISt2uXLMAU32,59949,52076,193,5,5,4,4,19,20,2,2,3
R_2duSI5BJD3L5qm9,63284,66803,194,5,5,4,4,18,20,2,6,3
R_2xRFw2UUEiBmMB4,66803,63284,195,5,4,4,4,21,20,2,2,3
R_bQ0G4fWs2fLf9lv,63475,65573,196,5,5,5,4,15,19,2,2,2
R_2ciT3fZv0V4TAno,58468,65550,197,7,6,6,6,22,20,1,4,3
R_3Ok3jomInRrW7Ro,66840,58669,198,5,5,5,5,20,19,2,2,2
R_333fMqpQPs6Y2Rx,52076,59949,199,6,5,4,5,23,21,2,2,4
R_3lYKYoQ6BL5Ove1,58669,66840,200,5,3,3,2,16,20,1,2,3
R_2RVWnxgKCyP0wep,65573,63475,201,7,6,7,5,17,21,2,6,3
R_1Ov4Bfy3w112u7c,65550,58468,202,5,5,5,5,20,19,1,8,1
R_9yJW78iZxdo9oUF,65244,66774,203,6,6,5,5,14,19,1,2,2
R_2qpKySKkFwwiyCO,65369,52005,204,4,4,4,4,19,20,2,6,2
R_7Wp75BJgtuSkxMd,52005,65369,205,2,2,5,6,23,20,1,2,2
R_2dZxZojWPkOw2n7,66823,54736,206,5,5,5,4,14,21,1,8,3
R_umHWRuffk01nUbf,54736,66823,207,5,5,7,6,22,21,2,4,4
R_2b1L3XykecCeaYn,66774,65244,208,6,4,7,4,19,21,1,2,3
R_VRwx5xyu0PJIPYd,66829,66819,209,7,6,6,4,21,21,2,6,4
R_1jeIWAAJUXDOCyJ,66819,66829,210,7,7,7,7,18,21,2,2,3
R_2PvqtP6iBGsUPNd,66811,65135,211,7,7,5,4,24,20,2,8,2
R_2QRK6x70EbSPW5g,65135,66811,212,5,5,3,3,14,18,2,2,2
R_p3Q0nh0aha4fy4F,58516,65209,213,3,5,2,3,14,20,2,2,3
R_Z3qBevuclQLnd5f,65209,58516,214,6,6,6,4,20,20,1,6,2
R_3EnIn5Zv7jvCdof,68199,68029,215,7,5,1,7,18,19,2,2,2
R_yxv37pzuNUxyRCF,66737,68137,216,5,4,4,5,15,19,2,2,1
R_1gd8aaTcuvNWjiz,58495,68180,217,6,6,5,5,21,21,2,2,4
R_115s3haosvBJlcB,68029,68199,218,5,5,5,4,21,19,2,2,2
R_PUMJTTacquupdL3,52427,66845,219,6,5,5,5,19,21,2,2,4
R_1GHNtKNVgLrqQeV,68180,58495,220,6,6,6,6,20,22,2,6,4
R_12DyMKzTXMoBCcM,68137,66737,221,4,4,4,4,17,19,2,4,2
R_DDaHax6CECFFneF,66845,52427,222,4,2,4,1,22,18,2,2,2
R_URaVbTxgdzJoHV7,68033,58313,223,5,4,5,4,19,20,2,2,2
